cdd,Year,cwd,fd,gslend,gslstart,hd30,hi35,hurs,id,pr,r20mm,rx1day,tas,tasmax,tasmin,tnn,txx,wsdi,gsl
49.22402542372881,1950,29.274274364406775,28.153244173728815,313.5620392468842,63.17254120148857,7.825754766949151,1.5696504237288136,71.41283633474576,336.8467399364407,1206.4069332627118,9.402335805084746,44.400818326271185,17.120590572033898,17.120590572033898,17.120590572033898,4.235286016949153,26.313000529661018,3.6177118644067794,250.3894980453956
47.71213453389831,1951,28.65320180084746,26.110034427966102,314.43490190880175,63.445287234042546,8.995757415254236,1.8917108050847455,72.02521451271186,338.88997351694917,1236.1197722457628,9.857857521186443,44.66267743644068,17.314814618644068,17.314814618644068,17.314814618644068,6.054557733050848,26.519589512711864,2.1593061440677968,250.9896146747592
50.857997881355935,1952,30.551242055084742,30.545985169491527,313.7864270557029,66.03406590486314,8.922772775423729,1.964825211864407,71.56971398305085,335.45400953389833,1217.7062605932203,9.61656779661017,44.02923463983051,17.2929343220339,17.2929343220339,17.2929343220339,6.438448093220338,26.794494173728815,4.822934322033898,247.75236115083976
47.62349576271187,1953,29.46060646186441,29.34229343220339,313.4812380699894,64.41346879150066,8.457094809322033,2.028196504237288,72.40637447033899,335.6577092161017,1258.7145895127117,10.397526483050846,46.97413135593221,17.24100370762712,17.24100370762712,17.24100370762712,5.656207627118644,26.531181144067798,2.4104740466101697,249.06776927848873
51.30056144067797,1954,28.816930614406782,29.896099046610164,314.73286396181385,66.15212346993081,9.241456567796611,2.0871716101694915,71.58129766949152,335.10390625,1199.2342796610171,9.34552436440678,45.317105402542374,17.054422669491526,17.054422669491526,17.054422669491526,4.731684322033898,26.425918961864408,2.021872351694915,248.58074049188303
51.57212923728814,1955,29.5178125,28.56223781779661,313.81092523860025,63.04660457690261,9.127688029661018,1.7967478813559323,71.53409957627119,336.4377833686441,1203.1753919491525,9.644255826271186,44.44143538135594,17.18265095338983,17.18265095338983,17.18265095338983,5.922743644067796,26.385447563559325,2.7779290254237288,250.76432066169764
53.9900873940678,1956,29.057356991525424,33.819165783898306,313.06255437665783,64.86484445626164,9.072629766949152,1.698252118644068,71.21766154661017,332.18083686440673,1205.0152780720337,9.672391419491525,44.80746822033898,16.729239936440678,16.729239936440678,16.729239936440678,3.812092161016949,26.410354872881356,1.3819014830508474,248.1977099203962
46.541837923728814,1957,27.547232521186437,27.638363347457624,314.0972216330859,62.074269363854135,9.172852224576271,2.367298728813559,72.06415254237288,337.3616393008474,1210.1811069915254,10.016268538135595,47.61610699152542,17.309573622881356,17.309573622881356,17.309573622881356,5.697579449152543,26.84460275423729,3.048397775423729,252.02295226923175
52.06162341101695,1958,27.180987817796613,27.900884533898303,314.08724284199366,61.86326856534469,11.393853283898306,2.811938559322034,71.29378972457627,337.0991340042373,1198.137431144068,9.995238347457626,45.91513241525424,17.514939088983052,17.514939088983052,17.514939088983052,6.147719809322034,26.90282838983051,5.4995656779661015,252.22397427664896
48.61366525423729,1959,25.991686970338982,27.152420550847456,313.7811267232238,62.76440362087326,10.080240995762711,2.3289486228813563,71.54830773305086,337.84758209745763,1173.8408739406782,9.57680349576271,45.17833421610169,17.39700741525424,17.39700741525424,17.39700741525424,5.8268802966101685,26.680365466101694,1.9874390889830507,251.01672310235054
48.98454184322034,1960,26.39970338983051,26.53295286016949,316.7032582184517,61.316449294649985,10.573691737288135,2.6273437499999996,71.79828389830507,339.4670497881356,1217.5892558262713,9.80037341101695,45.96087129237288,17.468797669491526,17.468797669491526,17.468797669491526,5.627571504237288,26.5631938559322,3.1695683262711865,255.3868089238017
48.94024099576272,1961,27.93903601694915,25.028170021186444,315.9637354188759,62.00576289207868,10.101575741525425,2.5399152542372883,71.52549788135592,339.9718273305085,1198.5575556144067,9.646440677966101,45.800172139830515,17.544165783898304,17.544165783898304,17.544165783898304,5.802322563559322,26.751144067796613,3.9027727754237285,253.95797252679722
51.3486811440678,1962,27.86417108050847,28.97704978813559,313.96098356309653,63.57741498405951,9.974647775423728,2.5509878177966097,71.42528601694916,336.0229581567796,1208.035225105932,9.750243644067798,45.32487288135593,17.25796875,17.25796875,17.25796875,5.670299258474576,26.339345868644067,1.83229343220339,250.38356857903702
45.97672404661017,1963,28.753241525423725,32.078863877118636,315.92102598091196,64.55191970220686,10.232123940677965,2.5227966101694914,72.06814618644069,332.92115730932204,1241.9822854872882,10.049475635593218,46.65648569915254,17.224226694915256,17.224226694915256,17.224226694915256,4.639401483050847,26.688019067796606,3.3211334745762713,251.3691062787051
52.012129237288136,1964,26.865659427966104,31.06766419491526,314.7100530503979,65.50099547511311,10.687929025423728,2.202709216101695,71.48197563559322,334.9323225635593,1181.3583209745761,9.62630031779661,46.0001218220339,17.18690413135593,17.18690413135593,17.18690413135593,5.141739936440678,26.48707627118644,3.2219703389830507,249.2090575752848
50.0882282838983,1965,27.193527542372884,30.54015095338983,313.94087728597935,64.54077476038339,10.35245497881356,1.9540572033898307,71.25204184322033,334.45985169491524,1180.2000105932204,9.267714512711864,45.0099126059322,17.093077330508475,17.093077330508475,17.093077330508475,5.529671610169491,26.347738347457625,2.9750900423728814,249.40010252559597
47.6305720338983,1966,26.425990466101695,26.813829449152543,313.9097295864263,60.35260638297873,11.360248940677966,2.3488268008474575,71.53273569915254,338.18618379237284,1220.9556461864406,9.858890360169493,44.93900953389831,17.494075741525425,17.494075741525425,17.494075741525425,5.5524179025423726,26.533222987288134,5.590799788135594,253.55712320344756
43.137513241525426,1967,27.605993114406782,27.87092690677966,315.37132290562033,62.30952634379989,9.291445974576272,2.2588241525423727,72.03412341101695,337.1290969279661,1210.1326483050846,9.736777012711864,45.950799788135605,17.262783368644065,17.262783368644065,17.262783368644065,4.763021716101695,26.418072033898305,1.3832229872881356,253.06179656182044
47.167942266949154,1968,27.551742584745764,29.289997351694915,315.5246845174973,63.27063761955367,9.393625529661017,2.1293299788135593,71.97554555084747,336.70999470338984,1212.2163056144066,9.733723516949153,45.32948887711864,17.252280190677965,17.252280190677965,17.252280190677965,4.804962923728814,26.714732521186445,3.248222987288136,252.25404689794362
