Year,PC1,PC2,PC3,PC4,PC5
2023,4.869725559879498,0.07824432832564465,-0.007785261806148636,-0.13339557192537033,-0.35282256765435704
2024,5.001339764200566,0.08035903990201376,-0.007995674287395893,-0.13700085765308323,-0.3623583127260943
2025,5.13295396852169,0.08247375147838198,-0.00820608676864315,-0.14060614338079525,-0.37189405779783513
2026,5.264568172842758,0.0845884630547511,-0.008416499249890408,-0.14421142910850815,-0.38142980286957595
2027,5.396182377163825,0.0867031746311202,-0.008626911731137665,-0.14781671483622105,-0.3909655479413132
2028,5.527796581484893,0.08881788620748843,-0.008837324212384923,-0.15142200056393396,-0.40050129301305404
2029,5.65941078580596,0.09093259778385754,-0.00904773669363218,-0.15502728629164597,-0.41003703808479486
2030,5.791024990127028,0.09304730936022665,-0.009258149174879438,-0.15863257201935888,-0.4195727831565321
2031,5.922639194448095,0.09516202093659487,-0.009468561656126695,-0.16223785774707178,-0.42910852822827295
2032,6.054253398769163,0.09727673251296398,-0.009678974137373952,-0.16584314347478468,-0.4386442733000102
2033,6.18586760309023,0.09939144408933309,-0.00988938661862121,-0.1694484292024967,-0.44818001837175103
2034,6.317481807411298,0.10150615566570131,-0.010099799099868467,-0.1730537149302096,-0.45771576344349185
2035,6.449096011732365,0.10362086724207042,-0.010310211581115725,-0.1766590006579225,-0.4672515085152291
2036,6.580710216053433,0.10573557881843865,-0.010520624062362982,-0.1802642863856354,-0.47678725358696994
2037,6.7123244203745,0.10785029039480776,-0.01073103654361024,-0.1838695721133483,-0.4863229986587072
2038,6.843938624695568,0.10996500197117687,-0.010941449024857497,-0.18747485784106033,-0.495858743730448
2039,6.975552829016635,0.11207971354754509,-0.01115186150610481,-0.19108014356877323,-0.5053944888021888
2040,7.107167033337703,0.1141944251239142,-0.011362273987352067,-0.19468542929648613,-0.5149302338739261
2041,7.23878123765877,0.11630913670028331,-0.011572686468599325,-0.19829071502419904,-0.5244659789456669
2042,7.370395441979838,0.11842384827665153,-0.011783098949846582,-0.20189600075191105,-0.5340017240174042
2043,7.502009646300905,0.12053855985302064,-0.01199351143109384,-0.20550128647962396,-0.543537469089145
2044,7.633623850621973,0.12265327142938887,-0.012203923912341097,-0.20910657220733686,-0.5530732141608858
2045,7.76523805494304,0.12476798300575798,-0.012414336393588354,-0.21271185793504976,-0.5626089592326231
2046,7.896852259264108,0.1268826945821271,-0.012624748874835612,-0.21631714366276178,-0.5721447043043639
2047,8.028466463585175,0.1289974061584953,-0.01283516135608287,-0.21992242939047468,-0.5816804493761012
2048,8.160080667906243,0.13111211773486442,-0.013045573837330127,-0.2235277151181876,-0.591216194447842
2049,8.29169487222731,0.13322682931123353,-0.013255986318577384,-0.2271330008459005,-0.6007519395195828
2050,8.423309076548378,0.13534154088760175,-0.013466398799824641,-0.2307382865736134,-0.6102876845913201
