Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5419,Yield,01371,"Almonds, in shell",1963,1963,100 g/ha,7819.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01199.02,Mixed grain,2019,2019,t,3420281.73,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01709.02,Lupins,1981,1981,ha,558693.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01705,"Peas, dry",1970,1970,ha,7787780.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01709.90,Other pulses n.e.c.,1979,1979,100 g/ha,4882.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01344.01,Sour cherries,1990,1990,ha,195694.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01449.02,Hempseed,2020,2020,t,31960.54,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01379.02,Kola nuts,2000,2000,ha,384999.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,1973,1973,100 g/ha,66376.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,0113,Rice,1976,1976,t,347686382.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,0141,Soya beans,1996,1996,ha,61078869.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01290.90,"Other vegetables, fresh n.e.c.",2014,2014,ha,19987825.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,2167,Olive oil,2021,2021,t,3348153.67,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01443,Rape or colza seed,1967,1967,ha,7096652.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01653,"Nutmeg, mace, cardamoms, raw",2000,2000,100 g/ha,3122.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01640,Cocoa beans,1989,1989,ha,5514886.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01970,Unmanufactured tobacco,2006,2006,ha,3828194.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01379.01,Areca nuts,1976,1976,ha,324217.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01319,"Other tropical fruits, n.e.c.",1968,1968,t,5871809.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01251,Carrots and turnips,1969,1969,t,7798836.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,0111,Wheat,1998,1998,ha,219227076.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01359.01,Persimmons,1962,1962,ha,127313.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01709.02,Lupins,1965,1965,100 g/ha,8170.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01706,"Cow peas, dry",1967,1967,100 g/ha,1920.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,21700.02,Margarine and shortening,2002,2002,t,14401878.34,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1998,1998,ha,1502900.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,1987,1987,t,359719.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01446,Safflower seed,1981,1981,100 g/ha,6303.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01221,Watermelons,1993,1993,t,38250481.55,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01342.01,Pears,2000,2000,t,16260966.19,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01950.01,Natural rubber in primary forms,1993,1993,100 g/ha,8214.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,0142,"Groundnuts, excluding shelled",1975,1975,t,19118177.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01343,Apricots,2022,2022,ha,558381.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01450,Olives,1967,1967,ha,2917469.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01194,Quinoa,1981,1981,ha,41694.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,24310.01,"Beer of barley, malted",1963,1963,t,46625856.77,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01349.20,Other stone fruits,1995,1995,ha,44413.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01239.01,Okra,1975,1975,t,2034717.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01499.01,Karite nuts (sheanuts),1967,1967,t,232200.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01354,Strawberries,2022,2022,t,9569864.9,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01355.01,Blueberries,1993,1993,ha,41842.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01351.01,Currants,1972,1972,ha,12554.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01344.02,Cherries,1993,1993,t,1703784.94,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01450,Olives,2018,2018,ha,11384370.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01620,Tea leaves,2006,2006,100 g/ha,57874.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01323,Oranges,2008,2008,t,69320162.53,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01540,Yams,1984,1984,100 g/ha,69256.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01702,"Broad beans and horse beans, dry",1981,1981,t,4074732.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01214,Lettuce and chicory,2017,2017,t,26758285.84,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01356,Locust beans (carobs),2018,2018,t,46419.63,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01242,"Peas, green",2011,2011,t,16916713.58,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01530,Sweet potatoes,1975,1975,100 g/ha,117489.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01929.05,"Sisal, raw",2012,2012,t,229156.62,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01691,Chicory roots,2015,2015,t,504188.16,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01359.90,"Other fruits, n.e.c.",1973,1973,t,8270800.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01345,Peaches and nectarines,2019,2019,100 g/ha,165554.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01449.02,Hempseed,2009,2009,t,3024.53,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01655,"Cinnamon and cinnamon-tree flowers, raw",1992,1992,ha,96333.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,0141,Soya beans,1985,1985,t,101156845.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01342.01,Pears,1981,1981,t,8716088.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01314,Dates,2020,2020,100 g/ha,75289.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01970,Unmanufactured tobacco,1969,1969,t,4675231.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01216,Artichokes,1998,1998,ha,120702.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01239.01,Okra,1983,1983,t,2714462.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01929.05,"Sisal, raw",1987,1987,t,364007.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01651,"Pepper (Piper spp.), raw",1970,1970,t,102611.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01445,Sunflower seed,1987,1987,t,20609975.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,0141,Soya beans,1962,1962,100 g/ha,11384.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01324,"Tangerines, mandarins, clementines",1983,1983,100 g/ha,139614.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01311,Avocados,1996,1996,t,2234936.24,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1975,1975,100 g/ha,6287.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01591,Yautia,2017,2017,100 g/ha,123601.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01491.01,Oil palm fruit,1992,1992,100 g/ha,93602.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01253.01,"Onions and shallots, green",1999,1999,100 g/ha,190070.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01323,Oranges,1963,1963,100 g/ha,116509.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,0115,Barley,1979,1979,100 g/ha,18519.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01499.04,Tallowtree seeds,1992,1992,t,770000.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01353.01,Raspberries,1989,1989,100 g/ha,52039.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,0114,Sorghum,1996,1996,ha,46802344.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,21691.14,Oil of palm kernel,1985,1985,t,1174257.34,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01199.02,Mixed grain,1989,1989,t,5259657.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01313,Plantains and cooking bananas,1993,1993,ha,4309642.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01372,"Cashew nuts, in shell",1965,1965,100 g/ha,5355.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01929.02,"True hemp, raw or retted",1993,1993,ha,84302.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01373,"Chestnuts, in shell",1992,1992,ha,255722.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1980,1980,100 g/ha,62693.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,0116,Rye,1996,1996,ha,11157711.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,0115,Barley,2017,2017,100 g/ha,31014.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01194,Quinoa,2015,2015,ha,197637.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01929.06,"Agave fibres, raw, n.e.c.",1982,1982,ha,57118.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01379.02,Kola nuts,1976,1976,t,208000.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01343,Apricots,1989,1989,ha,321300.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01234,Tomatoes,2014,2014,ha,4968545.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01351.02,Gooseberries,1991,1991,100 g/ha,59956.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1998,1998,t,3040056.76,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01709.01,Vetches,2000,2000,t,1040755.15,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01656,"Cloves (whole stems), raw",2021,2021,ha,705980.0,E,Estimated value,
