Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),F2054,Food,1986,1986,,78.6,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),01317,Papayas,1972,1972,,13.45,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),F2054,Food,2001,2001,,84.55,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),01802,Sugar cane,2001,2001,,79.68,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),21170.02,"Game meat, fresh, chilled or frozen",2011,2011,,101.4,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),01229,Cantaloupes and other melons,1989,1989,,50.52,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),01709.01,Vetches,1976,1976,,172.18,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),01707,"Pigeon peas, dry",1999,1999,,91.49,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),01651,"Pepper (Piper spp.), raw",2014,2014,,90.39,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),01929.90,"Other fibre crops, raw, n.e.c.",2007,2007,,53.09,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),01491.01,Oil palm fruit,1999,1999,,42.25,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),01318,Pineapples,1966,1966,,18.62,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),01704,"Lentils, dry",1982,1982,,31.46,E,Estimated value
QI,Production Indices,1,World,432,Gross Production Index Number (2014-2016 = 100),02941,"Shorn wool, greasy, including fleece-washed shorn wool",1995,1995,,127.47,E,Estimated value
QI,Production Indices,1,World,434,Gross per capita Production Index Number (2014-2016 = 100),21115i,"Meat of sheep, fresh or chilled (indigenous)",1975,1975,,104.66,E,Estimated value
